,R,G,B,Anger,Fear,Happy,Sad,Energy,Depress
0,0,0,0,0,0,0,0,0,0
1,0,0,5,0,0.006288949,0,0.050943452,0,0.043057276
2,0,0,10,0,0.012577897,0,0.101886905,0,0.086114552
3,0,0,15,0,0.018866846,0,0.152830357,0,0.129171828
4,0,0,20,0,0.025155795,0,0.20377381,0,0.172229104
5,0,0,25,0,0.031444743,0,0.254717262,0,0.21528638
6,0,0,30,0,0.037733692,0,0.305660715,0,0.258343656
7,0,0,35,0,0.044022641,0,0.356604167,0,0.301400932
8,0,0,40,0,0.050311589,0,0.40754762,0,0.344458208
9,0,0,45,0,0.056600538,0,0.458491072,0,0.387515484
10,0,0,50,0,0.062889487,0,0.509434525,0,0.43057276

















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































